OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;geometry;subject;region_name;regio_type;region_code;lon;lat
;;;;;;POINT (52.3467740369991 4.8608639288231);Marathonbuurt West;Amsterdam;Buurt;BU03634802;4.8608639288231;52.3467740369991
;;;;;;POINT (52.3444872806487 4.8549969716183);Olympisch Stadion e.o.;Amsterdam;Buurt;BU03634803;4.8549969716183;52.3444872806487
;;;;;;POINT (52.3405689418338 4.85175568112006);IJsbaanpad e.o.;Amsterdam;Buurt;BU03634804;4.85175568112006;52.3405689418338
;;;;;;POINT (52.3443466516839 4.862805399029691);Van Tuyllbuurt;Amsterdam;Buurt;BU03634805;4.862805399029691;52.3443466516839
;;;;;;POINT (52.3480293702432 4.875915323981911);Apollobuurt;Amsterdam;Wijk;WK036349;4.875915323981911;52.348029370243204
;;;;;;POINT (52.346524033714 4.882233280978481);Diepenbrockbuurt;Amsterdam;Buurt;BU03634900;4.882233280978481;52.346524033714
;;;;;;POINT (52.3490418603168 4.88025605272412);Beethovenbuurt;Amsterdam;Buurt;BU03634901;4.88025605272412;52.3490418603168
;;;;;;POINT (52.3512039728518 4.87225175855116);Hiltonbuurt;Amsterdam;Buurt;BU03634902;4.87225175855116;52.3512039728518
;;;;;;POINT (52.349760609903 4.87253739310426);Minervabuurt Noord;Amsterdam;Buurt;BU03634903;4.87253739310426;52.349760609903
;;;;;;POINT (52.34781612693629 4.872414215765639);Minervabuurt Midden;Amsterdam;Buurt;BU03634904;4.872414215765639;52.347816126936294
;;;;;;POINT (52.3455653053499 4.87201563951174);Minervabuurt Zuid;Amsterdam;Buurt;BU03634905;4.87201563951174;52.3455653053499
;;;;;;POINT (52.3527026670751 5.01508837107726);IJburg Oost;Amsterdam;Wijk;WK036350;5.01508837107726;52.3527026670751
;;;;;;POINT (52.3548968095805 5.02053097286902);Strandeiland;Amsterdam;Buurt;BU03635000;5.02053097286902;52.354896809580495
;;;;;;POINT (52.3560968143622 5.02012885168912);Middeneiland Zuidoost;Amsterdam;Buurt;BU03635001;5.02012885168912;52.3560968143622
;;;;;;POINT (52.3549503144971 5.01810254159833);Middeneiland Zuidwest;Amsterdam;Buurt;BU03635003;5.0181025415983305;52.354950314497096
;;;;;;POINT (52.3671505402471 5.00808986486601);Buiteneiland;Amsterdam;Buurt;BU03635005;5.00808986486601;52.367150540247096
;;;;;;POINT (52.351609675967 5.01334230207954);Centrumeiland;Amsterdam;Buurt;BU03635006;5.01334230207954;52.351609675967
;;;;;;POINT (52.3498729946763 5.00695785989664);IJburg Zuid;Amsterdam;Wijk;WK036351;5.00695785989664;52.349872994676296
;;;;;;POINT (52.346053036537 5.00266727134527);Rieteiland Oost;Amsterdam;Buurt;BU03635100;5.00266727134527;52.346053036537
;;;;;;POINT (52.3490627732319 5.00750275290999);Haveneiland Oost;Amsterdam;Buurt;BU03635101;5.00750275290999;52.3490627732319
;;;;;;POINT (52.35272214107589 5.00504863708423);Haveneiland Noord;Amsterdam;Buurt;BU03635102;5.00504863708423;52.35272214107589
;;;;;;POINT (52.3429419375073 4.89553115414819);Scheldebuurt;Amsterdam;Wijk;WK036352;4.89553115414819;52.3429419375073
;;;;;;POINT (52.34636585791799 4.88849386496945);Wielingenbuurt;Amsterdam;Buurt;BU03635200;4.88849386496945;52.346365857917995
;;;;;;POINT (52.3442199363479 4.89374621119754);Scheldebuurt West;Amsterdam;Buurt;BU03635201;4.8937462111975405;52.3442199363479
;;;;;;POINT (52.34474471829311 4.89807131188517);Scheldebuurt Midden;Amsterdam;Buurt;BU03635202;4.89807131188517;52.344744718293114
