OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
2460;Wonen;9.4;2000;4.831.632;52.383.881;POINT(52.383881,4.831632)
2461;Wonen;14;4000;4.884.481;52.350.401;POINT(52.350401,4.884481)
2462;Wonen;9.4;2000;4.983.837;52.325.457;POINT(52.325457,4.983837)
2463;Wonen;9.4;2000;4.898.598;52.403.875;POINT(52.403875,4.898598)
2464;Wonen;10;2000;4.936.782;52.353.543;POINT(52.353543,4.936782)
2465;Wonen;9.4;2000;493.562;52.349.655;POINT(52.349655,4.93562)
2466;NietWonen;6;1000;5.004.284;52.350.026;POINT(52.350026,5.004284)
2467;NietWonen;47;12000;4.835.368;5.236.573;POINT(52.36573,4.835368)
2468;Wonen;9.4;2000;4.994.506;52.351.993;POINT(52.351993,4.994506)
2469;Wonen;6;1000;4.830.124;52.364.504;POINT(52.364504,4.830124)
2470;NietWonen;24;6000;4.901.735;52.352.145;POINT(52.352145,4.901735)
2471;Wonen;9.4;2000;486.928;52.341.885;POINT(52.341885,4.86928)
2472;Wonen;9.4;2000;4.792.213;5.234.813;POINT(52.34813,4.792213)
2473;Wonen;9.4;2000;4.873.938;5.235.365;POINT(52.35365,4.873938)
2474;Wonen;106;26000;4.891.709;52.417.167;POINT(52.417167,4.891709)
2475;Wonen;6;1000;4.851.002;52.377.239;POINT(52.377239,4.851002)
2476;Wonen;14;3000;4.874.909;52.347.691;POINT(52.347691,4.874909)
2477;Wonen;9.4;2000;4.794.508;5.237.787;POINT(52.37787,4.794508)
2478;Wonen;9.4;2000;4.948.812;52.343.438;POINT(52.343438,4.948812)
2479;NietWonen;204;51000;4.839.799;52.378.271;POINT(52.378271,4.839799)
2480;Wonen;9.4;2000;4.826.622;52.362;POINT(52.362,4.826622)
2481;Wonen;9.4;2000;4.784.703;5.235.254;POINT(52.35254,4.784703)
2482;NietWonen;48;12000;5.000.613;52.353.257;POINT(52.353257,5.000613)
2483;Wonen;9.4;2000;4.829.005;52.383.456;POINT(52.383456,4.829005)
2484;Wonen;9.4;2000;4.879.441;52.324.579;POINT(52.324579,4.879441)
2485;NietWonen;38;9000;4.910.033;52.405.918;POINT(52.405918,4.910033)
2486;Wonen;9.4;2000;4.994.169;52.299.508;POINT(52.299508,4.994169)
2487;Wonen;9.4;2000;4.769.702;52.351.307;POINT(52.351307,4.769702)
2488;Wonen;9.4;2000;4.891.567;52.323.679;POINT(52.323679,4.891567)
2489;NietWonen;22;6000;4.830.399;52.380.696;POINT(52.380696,4.830399)
2490;NietWonen;9;2000;4.849.254;52.380.944;POINT(52.380944,4.849254)
2491;Wonen;9.4;2000;4.898.943;52.339.187;POINT(52.339187,4.898943)
2492;Wonen;9.4;2000;4.979.809;52.326.574;POINT(52.326574,4.979809)
2493;Wonen;9.4;2000;4.830.739;52.367.716;POINT(52.367716,4.830739)
2494;Wonen;4;1000;4.863.026;52.352.182;POINT(52.352182,4.863026)
2495;Wonen;9.4;2000;4.930.243;52.346.395;POINT(52.346395,4.930243)
2496;Wonen;9.4;2000;4.948.056;52.399.789;POINT(52.399789,4.948056)
2497;Wonen;20;5000;4.895.136;52.420.256;POINT(52.420256,4.895136)
2498;Wonen;9.4;2000;4.961.839;52.306.912;POINT(52.306912,4.961839)
2499;Wonen;9.4;2000;4.990.613;52.355.555;POINT(52.355555,4.990613)
2500;Wonen;12;3000;4.855.249;52.353.117;POINT(52.353117,4.855249)
2501;Wonen;9.4;2000;4.948.756;52.343.472;POINT(52.343472,4.948756)
2502;Wonen;9.4;2000;4.985.582;52.316.341;POINT(52.316341,4.985582)
2503;Wonen;3;1000;4.846.321;52.374.919;POINT(52.374919,4.846321)
2504;Wonen;9.4;2000;4.880.507;52.348.537;POINT(52.348537,4.880507)
2505;NietWonen;149;37000;4.920.088;52.403.627;POINT(52.403627,4.920088)
2506;Wonen;9.4;2000;4.966.135;52.322.073;POINT(52.322073,4.966135)
2507;NietWonen;9.4;2000;4.948.805;52.373.713;POINT(52.373713,4.948805)
2508;Wonen;9.4;2000;4.822.065;52.374.033;POINT(52.374033,4.822065)
2509;NietWonen;9;2000;4.940.601;52.371.383;POINT(52.371383,4.940601)
2510;Wonen;3;1000;4.868.302;523.746;POINT(52.3746,4.868302)
2511;Wonen;9.4;2000;4.992.393;52.300.857;POINT(52.300857,4.992393)
2512;Wonen;9.4;2000;4.806.443;52.383.113;POINT(52.383113,4.806443)
2513;Wonen;15;4000;4.875.438;52.352.512;POINT(52.352512,4.875438)
2514;Wonen;9.4;2000;4.970.633;52.289.092;POINT(52.289092,4.970633)
2515;Wonen;9.4;2000;4.897.688;52.420.956;POINT(52.420956,4.897688)
