OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
3315;NietWonen;183;47000;4.971.528;52.315.056;POINT(52.315056,4.971528)
3316;NietWonen;64;16000;4.950.329;52.389.436;POINT(52.389436,4.950329)
3317;Wonen;9.4;2000;4.876.882;52.356.827;POINT(52.356827,4.876882)
3318;Wonen;11;3000;4.852.958;52.359.702;POINT(52.359702,4.852958)
3319;Wonen;6;2000;4.964.995;52.406.328;POINT(52.406328,4.964995)
3320;NietWonen;10;2000;5.009.171;52.350.308;POINT(52.350308,5.009171)
3321;Wonen;9.4;2000;4.907.929;52.411.866;POINT(52.411866,4.907929)
3322;Wonen;13;3000;4.874.944;52.365.051;POINT(52.365051,4.874944)
3323;Wonen;9.4;2000;4.923.135;52.352.302;POINT(52.352302,4.923135)
3324;Wonen;9.4;2000;4.957.907;52.385.992;POINT(52.385992,4.957907)
3325;Wonen;10;2000;4.933.006;52.355.326;POINT(52.355326,4.933006)
3326;Wonen;16;4000;4.867.103;5.236.182;POINT(52.36182,4.867103)
3327;Wonen;3;1000;4.879.819;52.360.616;POINT(52.360616,4.879819)
3328;Wonen;9.4;2000;4.924.782;52.391.732;POINT(52.391732,4.924782)
3329;Wonen;3;1000;4.865.998;52.361.824;POINT(52.361824,4.865998)
3330;Wonen;9.4;2000;4.873.711;5.236.181;POINT(52.36181,4.873711)
3331;Wonen;6;1000;4.869.815;523.608;POINT(52.3608,4.869815)
3332;Wonen;12;3000;4.944.637;52.320.467;POINT(52.320467,4.944637)
3333;Wonen;9.4;2000;4.792.557;52.343.811;POINT(52.343811,4.792557)
3334;NietWonen;135;33000;4.854.054;52.392.963;POINT(52.392963,4.854054)
3335;NietWonen;89;22000;487.719;52.384.912;POINT(52.384912,4.87719)
3336;Wonen;9.4;2000;4.977.432;52.361.885;POINT(52.361885,4.977432)
3337;Wonen;9.4;2000;480.599;52.343.943;POINT(52.343943,4.80599)
3338;Wonen;9.4;2000;4.967.032;52.304.027;POINT(52.304027,4.967032)
3339;Wonen;9.4;2000;4.997.024;52.301.088;POINT(52.301088,4.997024)
3340;Wonen;9.4;2000;4.860.164;52.323.398;POINT(52.323398,4.860164)
3341;Wonen;9.4;2000;4.949.785;52.342.818;POINT(52.342818,4.949785)
3342;NietWonen;18;5000;4.969.946;52.360.373;POINT(52.360373,4.969946)
3343;Wonen;9.4;2000;4.793.028;52.381.888;POINT(52.381888,4.793028)
3344;Wonen;9.4;2000;4.802.618;52.344.025;POINT(52.344025,4.802618)
3345;Wonen;9.4;2000;4.997.266;52.352.254;POINT(52.352254,4.997266)
3346;Wonen;9.4;2000;4.794.694;52.376.593;POINT(52.376593,4.794694)
3347;Wonen;9.4;2000;4.906.998;52.415.486;POINT(52.415486,4.906998)
3348;Wonen;9.4;2000;4.968.783;52.298.964;POINT(52.298964,4.968783)
3349;Wonen;9.4;2000;4.981.412;5.232.759;POINT(52.32759,4.981412)
3350;Wonen;9.4;2000;4.779.004;52.352.956;POINT(52.352956,4.779004)
3351;Wonen;14;4000;4.864.258;52.331.043;POINT(52.331043,4.864258)
3352;Wonen;11;3000;4.966.416;52.317.714;POINT(52.317714,4.966416)
3353;Wonen;9.4;2000;4.979.691;52.327.065;POINT(52.327065,4.979691)
3354;NietWonen;8;2000;4.817.967;52.344.298;POINT(52.344298,4.817967)
3355;Wonen;9.4;2000;4.964.214;52.304.181;POINT(52.304181,4.964214)
3356;Wonen;9.4;2000;4.996.166;52.297.747;POINT(52.297747,4.996166)
3357;Wonen;9.4;2000;4.968.082;52.293.497;POINT(52.293497,4.968082)
3358;Wonen;3;1000;4.856.652;52.353.153;POINT(52.353153,4.856652)
3359;Wonen;9.4;2000;4.806.044;52.382.923;POINT(52.382923,4.806044)
3360;Wonen;9.4;2000;479.083;52.342.918;POINT(52.342918,4.79083)
3361;Wonen;9.4;2000;4.799.716;52.350.509;POINT(52.350509,4.799716)
3362;NietWonen;55;14000;4.855.391;52.357.195;POINT(52.357195,4.855391)
3363;Wonen;9.4;2000;4.795.935;52.376.254;POINT(52.376254,4.795935)
3364;Wonen;9.4;2000;4.773.957;52.350.875;POINT(52.350875,4.773957)
3365;NietWonen;9.4;2000;4.906.406;52.402.318;POINT(52.402318,4.906406)
3366;Wonen;9.4;2000;4.831.913;52.368.375;POINT(52.368375,4.831913)
3367;Wonen;9.4;2000;4.953.032;52.344.583;POINT(52.344583,4.953032)
3368;Wonen;9.4;2000;4.969.285;52.299.373;POINT(52.299373,4.969285)
3369;Wonen;9.4;2000;4.924.704;52.392.122;POINT(52.392122,4.924704)
3370;NietWonen;11;3000;4.888.001;52.352.162;POINT(52.352162,4.888001)
3371;Wonen;9.4;2000;4.906.175;52.415.854;POINT(52.415854,4.906175)
3372;Wonen;9;2000;488.696;5.235.131;POINT(52.35131,4.88696)
3373;Wonen;3;1000;4.856.969;52.378.439;POINT(52.378439,4.856969)
3374;Wonen;9.4;2000;4.925.672;52.343.175;POINT(52.343175,4.925672)
3375;Wonen;9.4;2000;492.389;52.343.189;POINT(52.343189,4.92389)
3376;NietWonen;24;6000;481.216;52.329.756;POINT(52.329756,4.81216)
3377;Wonen;14;3000;4.910.547;52.354.625;POINT(52.354625,4.910547)
3378;Wonen;9.4;2000;4.852.025;52.355.094;POINT(52.355094,4.852025)
3379;Wonen;9.4;2000;4.924.482;52.341.755;POINT(52.341755,4.924482)
3380;Wonen;9.4;2000;4.911.064;52.353.217;POINT(52.353217,4.911064)
3381;Wonen;6;1000;4.904.116;52.357.391;POINT(52.357391,4.904116)
3382;Wonen;7;2000;4.888.119;52.357.359;POINT(52.357359,4.888119)
3383;Wonen;3;1000;4.924.316;52.358.972;POINT(52.358972,4.924316)
3384;Wonen;9.4;2000;5.001.107;52.350.428;POINT(52.350428,5.001107)
3385;Wonen;9.4;2000;5.002.358;52.422.509;POINT(52.422509,5.002358)
3386;NietWonen;28;7000;4.812.444;52.329.622;POINT(52.329622,4.812444)
3387;Wonen;9.4;2000;4.877.143;52.359.173;POINT(52.359173,4.877143)
3388;Wonen;9;2000;4.870.454;5.238.383;POINT(52.38383,4.870454)
3389;NietWonen;76;19000;4.978.219;52.363.614;POINT(52.363614,4.978219)
3390;NietWonen;6;1000;4.877.847;52.357.407;POINT(52.357407,4.877847)
3391;Wonen;12;3000;4.882.192;52.354.331;POINT(52.354331,4.882192)
3392;Wonen;9.4;2000;493.897;52.356.374;POINT(52.356374,4.93897)
3393;NietWonen;15;4000;4.812.105;52.329.706;POINT(52.329706,4.812105)
3394;Wonen;9.4;2000;4.911.124;52.354.449;POINT(52.354449,4.911124)
3395;Wonen;30;7000;4.928.368;52.391.283;POINT(52.391283,4.928368)
3396;Wonen;9.4;2000;4.896.615;52.416.178;POINT(52.416178,4.896615)
3397;Wonen;6;1000;4.917.006;52.355.699;POINT(52.355699,4.917006)
3398;Wonen;9.4;2000;4.799.097;52.341.384;POINT(52.341384,4.799097)
3399;Wonen;9.4;2000;4.963.691;52.383.841;POINT(52.383841,4.963691)
3400;Wonen;9.4;2000;4.921.277;52.399.535;POINT(52.399535,4.921277)
3401;Wonen;7;2000;4.924.664;52.354.287;POINT(52.354287,4.924664)
3402;NietWonen;6;1000;4.862.077;52.364.805;POINT(52.364805,4.862077)
3403;NietWonen;8;2000;4.867.308;52.368.462;POINT(52.368462,4.867308)
3404;Wonen;3;1000;4.895.462;52.352.154;POINT(52.352154,4.895462)
3405;Wonen;9.4;2000;489.954;52.414.921;POINT(52.414921,4.89954)
3406;Wonen;9.4;2000;4.906.861;52.415.765;POINT(52.415765,4.906861)
3407;Wonen;9.4;2000;4.914.114;52.406.044;POINT(52.406044,4.914114)
3408;Wonen;9.4;2000;4.923.486;52.352.366;POINT(52.352366,4.923486)
3409;Wonen;9.4;2000;4.937.236;52.392.029;POINT(52.392029,4.937236)
3410;Wonen;9.4;2000;4.924.327;5.235.929;POINT(52.35929,4.924327)
3411;Wonen;9.4;2000;4.931.509;5.239.167;POINT(52.39167,4.931509)
3412;Wonen;14;4000;4.899.418;52.354.949;POINT(52.354949,4.899418)
3413;Wonen;9.4;2000;4.933.688;52.355.716;POINT(52.355716,4.933688)
3414;Wonen;9.4;2000;4.987.685;52.315.536;POINT(52.315536,4.987685)
3415;Wonen;9.4;2000;4.868.107;52.354.476;POINT(52.354476,4.868107)
3416;NietWonen;22;5000;4.807.444;5.235.454;POINT(52.35454,4.807444)
3417;Wonen;9.4;2000;4.935.075;52.351.207;POINT(52.351207,4.935075)
3418;Wonen;6;1000;4.894.759;52.354.873;POINT(52.354873,4.894759)
3419;Wonen;8;2000;4.865.581;5.236.683;POINT(52.36683,4.865581)
3420;Wonen;9.4;2000;4.906.398;52.415.598;POINT(52.415598,4.906398)
3421;Wonen;3;1000;4.947.931;5.238.672;POINT(52.38672,4.947931)
3422;NietWonen;9.4;2000;4.991.933;52.360.395;POINT(52.360395,4.991933)
3423;NietWonen;9;2000;4.863.848;52.365.242;POINT(52.365242,4.863848)
3424;NietWonen;61;16000;4.873.722;5.239.045;POINT(52.39045,4.873722)
3425;Wonen;3;1000;4.892.346;52.352.098;POINT(52.352098,4.892346)
3426;NietWonen;3;1000;487.778;52.383.233;POINT(52.383233,4.87778)
3427;Wonen;9.4;2000;4.901.864;52.408.166;POINT(52.408166,4.901864)
3428;Wonen;9.4;2000;4.924.762;52.341.932;POINT(52.341932,4.924762)
3429;Wonen;9;2000;4.928.688;5.235.353;POINT(52.35353,4.928688)
3430;Wonen;14;3000;4.852.961;52.354.582;POINT(52.354582,4.852961)
3431;Wonen;9.4;2000;4.924.152;52.342.962;POINT(52.342962,4.924152)
3432;Wonen;6;1000;4.875.194;52.363.942;POINT(52.363942,4.875194)
3433;Wonen;9.4;2000;4.937.185;5.234.881;POINT(52.34881,4.937185)
3434;Wonen;9.4;2000;4.924.534;52.343.192;POINT(52.343192,4.924534)
3435;Wonen;10;2000;4.862.091;52.361.154;POINT(52.361154,4.862091)
3436;Wonen;13;3000;4.929.251;52.353.874;POINT(52.353874,4.929251)
3437;Wonen;9.4;2000;4.901.866;5.240.826;POINT(52.40826,4.901866)
3438;Wonen;3;1000;485.989;52.360.891;POINT(52.360891,4.85989)
3439;NietWonen;14;4000;4.885.235;52.352.928;POINT(52.352928,4.885235)
3440;Wonen;16;4000;4.882.304;52.360.213;POINT(52.360213,4.882304)
3441;Wonen;3;1000;4.864.422;52.354.545;POINT(52.354545,4.864422)
3442;Wonen;14;3000;4.858.961;5.236.978;POINT(52.36978,4.858961)
3443;Wonen;12;3000;4.896.701;52.353.468;POINT(52.353468,4.896701)
3444;NietWonen;28;7000;4.811.726;52.329.886;POINT(52.329886,4.811726)
3445;Wonen;9.4;2000;4.913.981;52.405.933;POINT(52.405933,4.913981)
3446;NietWonen;6;1000;4.874.273;52.365.183;POINT(52.365183,4.874273)
3447;Wonen;9.4;2000;4.996.024;52.353.685;POINT(52.353685,4.996024)
3448;Wonen;12;3000;4.894.452;52.415.827;POINT(52.415827,4.894452)
3449;Wonen;9.4;2000;492.335;52.342.495;POINT(52.342495,4.92335)
3450;Wonen;20;5000;4.936.473;52.351.425;POINT(52.351425,4.936473)
3451;Wonen;9.4;2000;4.894.407;52.419.568;POINT(52.419568,4.894407)
3452;Wonen;3;1000;4.922.861;52.357.413;POINT(52.357413,4.922861)
3453;Wonen;9.4;2000;4.872.143;52.354.648;POINT(52.354648,4.872143)
3454;Wonen;12;3000;4.877.919;52.365.003;POINT(52.365003,4.877919)
3455;NietWonen;9.4;2000;5.008.918;52.350.443;POINT(52.350443,5.008918)
3456;Wonen;9.4;2000;492.504;52.342.096;POINT(52.342096,4.92504)
3457;Wonen;12;3000;4.897.581;52.355.507;POINT(52.355507,4.897581)
3458;Wonen;6;2000;4.892.657;52.353.562;POINT(52.353562,4.892657)
3459;Wonen;3;1000;4.871.076;52.384.078;POINT(52.384078,4.871076)
3460;Wonen;18;4000;4.933.942;52.353.937;POINT(52.353937,4.933942)
3461;NietWonen;12;3000;4.874.855;52.368.152;POINT(52.368152,4.874855)
3462;Wonen;4;1000;4.876.995;52.361.958;POINT(52.361958,4.876995)
3463;Wonen;3;1000;48.682;52.361.542;POINT(52.361542,4.8682)
3464;Wonen;9.4;2000;4.894.319;52.416.035;POINT(52.416035,4.894319)
3465;Wonen;9.4;2000;4.927.984;52.391.252;POINT(52.391252,4.927984)
3466;Wonen;9.4;2000;4.924.238;5.235.926;POINT(52.35926,4.924238)
3467;Wonen;9.4;2000;4.924.559;52.392.654;POINT(52.392654,4.924559)
3468;NietWonen;10;2000;4.862.009;52.364.789;POINT(52.364789,4.862009)
3469;NietWonen;38;10000;4.812.683;52.329.839;POINT(52.329839,4.812683)
3470;Wonen;6;1000;4.865.853;52.361.518;POINT(52.361518,4.865853)
3471;Wonen;9.4;2000;4.987.588;52.356.937;POINT(52.356937,4.987588)
3472;NietWonen;7;2000;4.865.822;52.390.074;POINT(52.390074,4.865822)
3473;NietWonen;11;3000;4.888.592;52.354.482;POINT(52.354482,4.888592)
3474;Wonen;6;1000;49.347;52.355.903;POINT(52.355903,4.9347)
3475;Wonen;4;1000;4.876.562;52.377.903;POINT(52.377903,4.876562)
3476;Wonen;9.4;2000;4.936.002;5.235.117;POINT(52.35117,4.936002)
3477;Wonen;18;4000;4.898.773;52.355.532;POINT(52.355532,4.898773)
3478;Wonen;3;1000;4.935.417;52.352.997;POINT(52.352997,4.935417)
3479;NietWonen;10;2000;5.009.108;52.350.342;POINT(52.350342,5.009108)
3480;Wonen;12;3000;4.934.176;52.351.781;POINT(52.351781,4.934176)
3481;Wonen;6;1000;4.927.353;52.353.668;POINT(52.353668,4.927353)
3482;Wonen;18;4000;4.873.111;52.355.177;POINT(52.355177,4.873111)
3483;Wonen;9.4;2000;4.933.586;52.354.586;POINT(52.354586,4.933586)
3484;Wonen;9.4;2000;492.453;5.239.276;POINT(52.39276,4.92453)
3485;Wonen;3;1000;4.866.827;52.362.579;POINT(52.362579,4.866827)
3486;NietWonen;12;3000;4.900.842;52.354.995;POINT(52.354995,4.900842)
3487;Wonen;9.4;2000;4.857.172;5.232.932;POINT(52.32932,4.857172)
3488;Wonen;9.4;2000;4.923.783;52.342.052;POINT(52.342052,4.923783)
3489;Wonen;9.4;2000;4.931.579;52.354.092;POINT(52.354092,4.931579)
3490;Wonen;9.4;2000;4.931.349;52.354.361;POINT(52.354361,4.931349)
3491;Wonen;9;2000;4.890.407;52.350.819;POINT(52.350819,4.890407)
3492;Wonen;9.4;2000;4.906.631;52.410.238;POINT(52.410238,4.906631)
3493;Wonen;19;5000;4.898.265;52.416.363;POINT(52.416363,4.898265)
3494;Wonen;8;2000;4.924.639;52.343.247;POINT(52.343247,4.924639)
3495;Wonen;9.4;2000;4.961.315;52.382.779;POINT(52.382779,4.961315)
3496;NietWonen;48;12000;4.974.429;52.380.877;POINT(52.380877,4.974429)
3497;Wonen;18;4000;4.880.491;52.353.957;POINT(52.353957,4.880491)
3498;Wonen;18;5000;485.858;52.373.779;POINT(52.373779,4.85858)
3499;Wonen;12;3000;4.872.726;52.355.718;POINT(52.355718,4.872726)
3500;NietWonen;83;20000;4.896.931;52.351.207;POINT(52.351207,4.896931)
3501;NietWonen;3;1000;4.926.726;52.355.994;POINT(52.355994,4.926726)
3502;NietWonen;3;1000;490.188;52.357.647;POINT(52.357647,4.90188)
3503;Wonen;11;3000;4.911.943;52.343.697;POINT(52.343697,4.911943)
3504;Wonen;8;2000;498.612;52.316.179;POINT(52.316179,4.98612)
3505;Wonen;4;1000;4.875.257;5.237.686;POINT(52.37686,4.875257)
3506;NietWonen;27;7000;4.941.975;5.236.909;POINT(52.36909,4.941975)
3507;Wonen;9.4;2000;4.995.854;52.353.775;POINT(52.353775,4.995854)
3508;NietWonen;9.4;2000;5.009.631;52.350.063;POINT(52.350063,5.009631)
3509;NietWonen;6;1000;4.923.227;52.358.909;POINT(52.358909,4.923227)
3510;Wonen;11;3000;4.894.904;52.355.237;POINT(52.355237,4.894904)
3511;Wonen;9.4;2000;4.873.778;52.357.426;POINT(52.357426,4.873778)
3512;NietWonen;47;12000;499.082;52.360.666;POINT(52.360666,4.99082)
3513;NietWonen;62;15000;4.930.512;52.357.651;POINT(52.357651,4.930512)
3514;Wonen;3;1000;4.870.148;52.362.056;POINT(52.362056,4.870148)
3515;Wonen;5;1000;4.876.422;52.377.683;POINT(52.377683,4.876422)
3516;Wonen;3;1000;4.934.875;52.391.379;POINT(52.391379,4.934875)
3517;NietWonen;8;2000;4.823.182;52.360.984;POINT(52.360984,4.823182)
3518;Wonen;9.4;2000;4.906.182;52.418.432;POINT(52.418432,4.906182)
3519;Wonen;9.4;2000;4.967.271;52.407.298;POINT(52.407298,4.967271)
3520;NietWonen;3;1000;4.932.498;52.352.821;POINT(52.352821,4.932498)
3521;Wonen;9.4;2000;4.871.522;52.356.055;POINT(52.356055,4.871522)
3522;Wonen;5;1000;4.874.246;52.365.498;POINT(52.365498,4.874246)
3523;Wonen;3;1000;4.879.933;52.360.653;POINT(52.360653,4.879933)
3524;NietWonen;7;2000;4.856.944;52.357.903;POINT(52.357903,4.856944)
3525;Wonen;6;1000;4.926.646;52.354.088;POINT(52.354088,4.926646)
3526;Wonen;10;2000;4.907.658;52.352.857;POINT(52.352857,4.907658)
3527;Wonen;6;1000;492.483;52.353.271;POINT(52.353271,4.92483)
3528;Wonen;25;6000;501.501;52.304.033;POINT(52.304033,5.01501)
3529;Wonen;3;1000;4.936.418;52.351.822;POINT(52.351822,4.936418)
3530;Wonen;15;4000;4.899.078;5.235.562;POINT(52.35562,4.899078)
3531;Wonen;9.4;2000;4.932.456;52.391.724;POINT(52.391724,4.932456)
3532;Wonen;8;2000;4.852.052;52.354.064;POINT(52.354064,4.852052)
3533;Wonen;20;5000;4.934.293;52.354.138;POINT(52.354138,4.934293)
3534;Wonen;16;4000;4.852.949;5.235.453;POINT(52.35453,4.852949)
3535;NietWonen;119;29000;4.955.893;5.235.442;POINT(52.35442,4.955893)
3536;Wonen;9.4;2000;4.924.725;52.341.909;POINT(52.341909,4.924725)
3537;Wonen;3;1000;4.866.956;52.361.234;POINT(52.361234,4.866956)
3538;Wonen;9.4;2000;4.852.541;52.354.299;POINT(52.354299,4.852541)
3539;Wonen;9.4;2000;4.924.005;52.342.547;POINT(52.342547,4.924005)
3540;NietWonen;21;5000;4.873.046;52.357.689;POINT(52.357689,4.873046)
3541;NietWonen;120;30000;4.866.478;52.370.836;POINT(52.370836,4.866478)
3542;Wonen;9.4;2000;4.923.369;52.396.731;POINT(52.396731,4.923369)
3543;Wonen;4;1000;4.874.102;52.365.457;POINT(52.365457,4.874102)
3544;Wonen;9.4;2000;4.985.746;52.316.063;POINT(52.316063,4.985746)
3545;Wonen;9.4;2000;4.922.047;52.359.023;POINT(52.359023,4.922047)
3546;Wonen;3;1000;492.515;52.343.545;POINT(52.343545,4.92515)
3547;Wonen;9.4;2000;492.281;5.235.313;POINT(52.35313,4.92281)
3548;Wonen;9.4;2000;5.001.167;52.350.395;POINT(52.350395,5.001167)
3549;Wonen;9.4;2000;4.964.134;52.406.806;POINT(52.406806,4.964134)
3550;Wonen;9.4;2000;496.373;52.383.696;POINT(52.383696,4.96373)
3551;Wonen;9.4;2000;4.923.571;52.396.276;POINT(52.396276,4.923571)
3552;NietWonen;5;1000;4.888.527;52.352.641;POINT(52.352641,4.888527)
3553;NietWonen;10;2000;4.986.176;52.364.769;POINT(52.364769,4.986176)
3554;Wonen;9.4;2000;4.936.315;52.391.465;POINT(52.391465,4.936315)
3555;Wonen;9.4;2000;4.907.326;5.241.015;POINT(52.41015,4.907326)
3556;Wonen;9.4;2000;4.877.397;52.356.233;POINT(52.356233,4.877397)
3557;Wonen;6;1000;4.860.763;52.357.996;POINT(52.357996,4.860763)
3558;Wonen;9.4;2000;4.924.668;52.341.866;POINT(52.341866,4.924668)
3559;Wonen;9.4;2000;4.987.227;52.315.711;POINT(52.315711,4.987227)
3560;Wonen;6;1000;4.936.523;52.351.454;POINT(52.351454,4.936523)
3561;NietWonen;5;1000;5.010.013;5.234.986;POINT(52.34986,5.010013)
3562;NietWonen;208;53000;4.958.593;52.354.848;POINT(52.354848,4.958593)
3563;Wonen;9.4;2000;4.942.563;52.389.956;POINT(52.389956,4.942563)
3564;Wonen;13;3000;4.934.847;5.235.378;POINT(52.35378,4.934847)
3565;Wonen;6;1000;487.887;52.360.398;POINT(52.360398,4.87887)
3566;Wonen;9.4;2000;492.483;52.391.598;POINT(52.391598,4.92483)
3567;Wonen;10;2000;486.195;5.237.176;POINT(52.37176,4.86195)
3568;Wonen;8;2000;4.925.165;52.360.887;POINT(52.360887,4.925165)
3569;Wonen;9;2000;4.936.921;52.351.698;POINT(52.351698,4.936921)
3570;Wonen;15;4000;4.880.839;52.354.038;POINT(52.354038,4.880839)
3571;Wonen;9.4;2000;4.924.062;52.359.213;POINT(52.359213,4.924062)
3572;Wonen;9.4;2000;4.852.863;52.355.135;POINT(52.355135,4.852863)
3573;NietWonen;6;1000;4.893.614;52.352.559;POINT(52.352559,4.893614)
3574;Wonen;3;1000;4.924.679;5.234.295;POINT(52.34295,4.924679)
3575;Wonen;9.4;2000;4.985.472;52.315.706;POINT(52.315706,4.985472)
3576;Wonen;11;3000;4.876.505;52.377.664;POINT(52.377664,4.876505)
3577;Wonen;12;3000;4.923.544;52.359.086;POINT(52.359086,4.923544)
3578;Wonen;9.4;2000;4.924.233;52.351.859;POINT(52.351859,4.924233)
3579;Wonen;9.4;2000;4.927.442;52.353.159;POINT(52.353159,4.927442)
3580;Wonen;10;3000;4.909.863;52.354.757;POINT(52.354757,4.909863)
3581;Wonen;9.4;2000;4.874.199;523.573;POINT(52.3573,4.874199)
3582;NietWonen;59;14000;4.856.216;52.358.793;POINT(52.358793,4.856216)
3583;Wonen;4;1000;4.858.814;52.373.027;POINT(52.373027,4.858814)
3584;Wonen;9.4;2000;4.924.362;52.343.089;POINT(52.343089,4.924362)
3585;Wonen;9.4;2000;4.784.328;52.366.688;POINT(52.366688,4.784328)
3586;Wonen;1;0;4.929.086;52.352.934;POINT(52.352934,4.929086)
3587;Wonen;9.4;2000;4.900.082;52.414.593;POINT(52.414593,4.900082)
3588;NietWonen;8;2000;4.898.197;52.355.779;POINT(52.355779,4.898197)
3589;Wonen;9.4;2000;4.906.318;52.415.685;POINT(52.415685,4.906318)
3590;Wonen;10;2000;4.861.824;52.371.785;POINT(52.371785,4.861824)
3591;Wonen;9.4;2000;4.986.286;52.315.652;POINT(52.315652,4.986286)
3592;Wonen;3;1000;487.795;52.380.692;POINT(52.380692,4.87795)
3593;Wonen;9.4;2000;4.918.372;52.400.539;POINT(52.400539,4.918372)
3594;Wonen;3;1000;490.257;52.355.003;POINT(52.355003,4.90257)
3595;NietWonen;20;5000;4.812.069;52.329.673;POINT(52.329673,4.812069)
3596;Wonen;12;3000;4.879.806;5.235.379;POINT(52.35379,4.879806)
3597;NietWonen;6;1000;4.878.391;52.390.338;POINT(52.390338,4.878391)
3598;Wonen;9.4;2000;4.933.036;52.353.868;POINT(52.353868,4.933036)
3599;Wonen;9.4;2000;4.927.797;52.391.233;POINT(52.391233,4.927797)
3600;Wonen;6;1000;4.876.932;52.365.642;POINT(52.365642,4.876932)
3601;Wonen;9.4;2000;496.122;5.238.286;POINT(52.38286,4.96122)
3602;Wonen;4;1000;4.872.088;52.355.545;POINT(52.355545,4.872088)
3603;NietWonen;4;1000;4.865.933;52.360.607;POINT(52.360607,4.865933)
3604;Wonen;9.4;2000;492.966;52.391.402;POINT(52.391402,4.92966)
3605;Wonen;9.4;2000;4.800.649;52.341.167;POINT(52.341167,4.800649)
3606;Wonen;14;4000;4.924.879;52.342.499;POINT(52.342499,4.924879)
3607;Wonen;9.4;2000;4.922.857;52.353.149;POINT(52.353149,4.922857)
3608;Wonen;9.4;2000;4.894.805;52.419.659;POINT(52.419659,4.894805)
3609;Wonen;9.4;2000;4.851.401;52.349.672;POINT(52.349672,4.851401)
3610;Wonen;9.4;2000;4.907.221;52.414.716;POINT(52.414716,4.907221)
3611;Wonen;8;2000;4.870.253;52.355.045;POINT(52.355045,4.870253)
3612;NietWonen;8;2000;4.877.114;52.359.699;POINT(52.359699,4.877114)
3613;Wonen;14;4000;4.928.127;52.353.204;POINT(52.353204,4.928127)
3614;NietWonen;9;2000;4.865.478;52.361.988;POINT(52.361988,4.865478)
3615;Wonen;6;1000;4.912.238;5.235.159;POINT(52.35159,4.912238)
3616;Wonen;3;1000;4.875.025;52.358.244;POINT(52.358244,4.875025)
3617;Wonen;9.4;2000;4.926.239;52.354.692;POINT(52.354692,4.926239)
3618;Wonen;9.4;2000;4.929.734;52.391.408;POINT(52.391408,4.929734)
3619;Wonen;7;2000;4.873.668;52.383.196;POINT(52.383196,4.873668)
3620;Wonen;9.4;2000;4.996.333;52.353.521;POINT(52.353521,4.996333)
3621;Wonen;9;2000;4.927.096;52.353.691;POINT(52.353691,4.927096)
3622;Wonen;9.4;2000;4.797.578;5.234.164;POINT(52.34164,4.797578)
3623;Wonen;6;1000;4.887.238;5.235.864;POINT(52.35864,4.887238)
3624;Wonen;6;1000;4.909.531;52.357.163;POINT(52.357163,4.909531)
3625;Wonen;6;1000;487.162;52.356.083;POINT(52.356083,4.87162)
3626;Wonen;9.4;2000;4.944.059;52.389.625;POINT(52.389625,4.944059)
3627;Wonen;9.4;2000;4.942.579;52.390.271;POINT(52.390271,4.942579)
3628;Wonen;9.4;2000;4.863.245;52.370.192;POINT(52.370192,4.863245)
3629;Wonen;9.4;2000;4.863.691;52.367.374;POINT(52.367374,4.863691)
3630;Wonen;15;4000;4.887.579;52.355.114;POINT(52.355114,4.887579)
3631;Wonen;4;1000;4.877.446;52.380.596;POINT(52.380596,4.877446)
3632;Wonen;9.4;2000;490.213;52.408.703;POINT(52.408703,4.90213)
3633;Wonen;8;2000;4.925.417;52.358.121;POINT(52.358121,4.925417)
3634;Wonen;15;4000;4.924.711;52.342.604;POINT(52.342604,4.924711)
3635;NietWonen;12;3000;4.899.517;52.356.717;POINT(52.356717,4.899517)
3636;Wonen;9.4;2000;4.845.909;52.386.513;POINT(52.386513,4.845909)
3637;Wonen;9.4;2000;5.000.929;52.350.522;POINT(52.350522,5.000929)
3638;Wonen;9.4;2000;4.938.569;52.391.268;POINT(52.391268,4.938569)
3639;Wonen;9.4;2000;4.925.617;52.343.207;POINT(52.343207,4.925617)
3640;Wonen;18;4000;4.936.161;52.352.529;POINT(52.352529,4.936161)
3641;Wonen;8;2000;4.861.702;52.361.638;POINT(52.361638,4.861702)
3642;Wonen;9.4;2000;4.871.272;52.356.818;POINT(52.356818,4.871272)
3643;Wonen;9.4;2000;4.899.643;52.415.208;POINT(52.415208,4.899643)
3644;Wonen;3;1000;4.877.476;523.652;POINT(52.3652,4.877476)
3645;Wonen;2;0;4.885.808;52.388.777;POINT(52.388777,4.885808)
3646;Wonen;12;3000;4.993.093;52.358.071;POINT(52.358071,4.993093)
3647;NietWonen;132;32000;4.864.498;5.234.766;POINT(52.34766,4.864498)
3648;NietWonen;78;20000;4.955.755;52.359.065;POINT(52.359065,4.955755)
3649;NietWonen;39;10000;4.876.077;52.377.848;POINT(52.377848,4.876077)
3650;Wonen;3;1000;4.934.432;5.235.405;POINT(52.35405,4.934432)
3651;NietWonen;5;1000;493.479;52.363.512;POINT(52.363512,4.93479)
3652;Wonen;9.4;2000;4.902.473;52.408.422;POINT(52.408422,4.902473)
3653;Wonen;25;6000;4.918.453;52.358.129;POINT(52.358129,4.918453)
3654;Wonen;9.4;2000;4.987.609;5.231.551;POINT(52.31551,4.987609)
3655;NietWonen;26;7000;4.812.377;52.329.561;POINT(52.329561,4.812377)
