subject,region_name,regio_type,region_code,lon,lat
AMC,Amsterdam,Buurt,BU03639205,4.95702495527195,52.29254714221229
Hoge Dijk,Amsterdam,Buurt,BU03639206,4.95841235044878,52.285326644487704
"Bijlmer Centrum (D,F,H)",Amsterdam,Wijk,WK036393,4.95398716196093,52.31512735907479
Venserpolder West,Amsterdam,Buurt,BU03639300,4.94376896963562,52.3202594913773
Venserpolder Oost,Amsterdam,Buurt,BU03639301,4.9473978739564,52.324341725412296
D-buurt,Amsterdam,Buurt,BU03639302,4.953073198975041,52.3206116784488
F-buurt,Amsterdam,Buurt,BU03639303,4.9563664580919005,52.3184421008632
Amsterdamse Poort,Amsterdam,Buurt,BU03639304,4.95181907092223,52.314372639603995
Hoptille,Amsterdam,Buurt,BU03639305,4.9519420148968,52.30955416671821
Rechte H-buurt,Amsterdam,Buurt,BU03639306,4.95665834438881,52.3111913112083
Hakfort/Huigenbos,Amsterdam,Buurt,BU03639307,4.957035684893481,52.3057879579366
Huntum,Amsterdam,Buurt,BU03639308,4.9620267449615,52.307500488014895
Vogeltjeswei,Amsterdam,Buurt,BU03639309,4.96082181946132,52.31696256141171
Nelson Mandelapark,Amsterdam,Buurt,BU03639310,4.96457153021929,52.311086670752495
"Bijlmer Oost (E,G,K)",Amsterdam,Wijk,WK036394,4.97731449341972,52.320278103154294
E-buurt,Amsterdam,Buurt,BU03639400,4.9638163727292595,52.3245928200422
G-buurt West,Amsterdam,Buurt,BU03639401,4.96656790862675,52.320663883275394
Bijlmermuseum Noord,Amsterdam,Buurt,BU03639402,4.97434361281599,52.320774971111604
Kortvoort,Amsterdam,Buurt,BU03639403,4.96977604101858,52.3159460962143
Kelbergen,Amsterdam,Buurt,BU03639404,4.9739462091138495,52.311587367923
K-buurt Midden,Amsterdam,Buurt,BU03639405,4.979785864176769,52.316319688801
K-buurt Zuidoost,Amsterdam,Buurt,BU03639406,4.984846175339441,52.3148799228127
K-buurt Zuidwest,Amsterdam,Buurt,BU03639407,4.9794696274667904,52.3130261450426
Grunder/Koningshoef,Amsterdam,Buurt,BU03639408,4.98061023912888,52.321326245551504
G-buurt Oost,Amsterdam,Buurt,BU03639409,4.98117440977112,52.3264719468031
Kantershof,Amsterdam,Buurt,BU03639410,4.98986316982858,52.3193879817132
Gooisekant,Amsterdam,Buurt,BU03639411,4.968630471437099,52.312417697603905
G-buurt Noord,Amsterdam,Buurt,BU03639412,4.97008007062963,52.3239065203934
Bijlmermuseum Zuid,Amsterdam,Buurt,BU03639413,4.97622846221881,52.3181519342126
Nellestein,Amsterdam,Wijk,WK036395,4.99243440905382,52.3071910954189
L-buurt,Amsterdam,Buurt,BU03639500,4.9800142741038,52.3064901099617
Gaasperpark,Amsterdam,Buurt,BU03639501,4.99279839132324,52.31111235482229
Gaasperplas,Amsterdam,Buurt,BU03639502,4.99928458872107,52.3051088629905
Holendrecht/Reigersbos,Amsterdam,Wijk,WK036396,4.9708589538549806,52.2968042677061
Holendrecht West,Amsterdam,Buurt,BU03639600,4.96139285606683,52.301265358524
Reigersbos Noord,Amsterdam,Buurt,BU03639601,4.966916400880531,52.2967829310728
Holendrecht Oost,Amsterdam,Buurt,BU03639602,4.9704716919254,52.3027747964252
Gaasperdam Noord,Amsterdam,Buurt,BU03639603,4.97770476614362,52.298151009842606
Gaasperdam Zuid,Amsterdam,Buurt,BU03639604,4.97848101528396,52.294494743087206
Reigersbos Midden,Amsterdam,Buurt,BU03639605,4.968883953522679,52.293406211692705
Reigersbos Zuid,Amsterdam,Buurt,BU03639606,4.9745547429353705,52.2895637985375
Gein,Amsterdam,Wijk,WK036397,4.99260569781216,52.2961605841739
Gein Noordwest,Amsterdam,Buurt,BU03639700,4.9851420772487405,52.299082212413104
Gein Zuidwest,Amsterdam,Buurt,BU03639701,4.98551872961498,52.2946133090704
Gein Noordoost,Amsterdam,Buurt,BU03639702,4.99734396166166,52.2991671438693
Gein Zuidoost,Amsterdam,Buurt,BU03639703,4.99337664065143,52.292793266208804
Driemond,Amsterdam,Wijk,WK036398,5.012155797161309,52.313198064187496
Dorp Driemond,Amsterdam,Buurt,BU03639800,5.0165391253969,52.3056284907953
Landelijk gebied Driemond,Amsterdam,Buurt,BU03639801,5.01123889414311,52.3147799125939
